PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,FULL_ADDRESS,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT
RQ007,MUNICIPALITY OF CAGUAS,"nan, Caguas, PR, 00725",(787) 653-8833,(787) 745-2250,lserrano@caguas.gov.pr,(787) 653-8833,(787) 746-6562,william.miranda@caguas.gov.pr,,,1405,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",Jun-30,Section 8,0,0,0,0,1226,1226,87.25,0,1405,1230,100,0,0,0
RQ081,MUNICIPALITY OF LUQUILLO,"nan, Luquillo, PR, 00773",(787) 889-3666,(787) 889-5493,yarelix.pumarejo@luquillo.pr.gov,(787) 889-6228,(787) 889-3666,yarelix.pumarejo@luquillo.pr.gov,,,72,SMALL (50-99),SMALL (50-99),Jun-30,Section 8,0,0,0,0,66,66,91.66000366,0,72,63,95.45999908,0,0,0
RQ077,MUNICIPALITY OF JUNCOS,"nan, Juncos, PR, 00777",(787) 333-6104,(787) 734-8720,vivienda@juncos.gov.pr,(787) 333-6104,(787) 734-8720,federales@juncos.gov.pr,,,59,SMALL (50-99),SMALL (50-99),Jun-30,Section 8,0,0,0,0,49,49,83.05999756,0,59,82,100,0,0,0
RQ041,MUNICIPALITY OF GURABO,"4 Carr 189, Gurabo, PR, 00778",(787) 712-1100,(787) 737-5250,djesus@gurabopr.com,(787) 712-1100,(787) 737-1224,rrivera@gurabopr.com,,,147,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,111,111,75.51000214,0,147,96,86.48000336,0,0,0
RQ034,MUNICIPALITY OF COMERIO,"9 Calle Jose De Diego, Comerio, PR, 00782",(787) 875-3445,(787) 875-5372,comerioseccion8@gmail.com,(787) 875-2300,(787) 875-5372,comerioseccion8@gmail.com,,,121,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,92,92,76.04000092,0,121,99,100,0,0,0
RQ074,MUNICIPALITY OF VIEQUES,"nan, Vieques, PR, 00765",(787) 741-5000,(787) 741-3169,seccion8vqs.gmv@gmail.com,(787) 741-5000,,seccion8vqs.gmv@gmail.com,,,118,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,53,53,44.90999985,0,118,49,92.45999908,0,0,0
RQ047,MUNICIPALITY OF NAGUABO,"40 Calle Baldorioty, Naguabo, PR, 00718",(787) 874-1095,,naguabosec8@gmail.com,(787) 874-3040,,naguaboseccion8@gmail.com,,,124,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,96,96,77.41999817,0,124,102,100,0,0,0
RQ064,MUNICIPALITY OF NARANJITO,"PO Box 53, Naranjito, PR, 00719",(787) 227-0129,(787) 869-8282,psantiago@municipiodenaranjito.com,(787) 869-5718,(787) 869-8282,admifednaranjito@gmail.com,,,126,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,124,124,98.41000366,0,126,125,100,0,0,0
RQ080,MUNICIPALITY OF OROCOVIS,"PO Box 2106, Orocovis, PR, 00720",(787) 867-5000,(787) 867-0309,sec8orocovis@gmail.com,(787) 867-5000,(787) 867-0309,prorocovis@gmail.com,,,50,SMALL (50-99),SMALL (50-99),Jun-30,Section 8,0,0,0,0,43,43,86,0,50,47,100,0,0,0
RQ049,MUNICIPALITY OF VILLALBA,"25 Calle Munoz Rivera, Villalba, PR, 00766",(787) 847-7428,(787) 847-1225,seccion8@villalbapr.gov,(787) 847-2500,,Dansantiago.pr@gmail.com,,,87,SMALL (50-99),SMALL (50-99),Jun-30,Section 8,0,0,0,0,78,78,89.65000153,0,87,82,100,0,0,0
RQ045,MUNICIPALITY OF YABUCOA,"PO Box 97, Yabucoa, PR, 00767",(787) 207-0365,,yabsect8@gmail.com,(787) 207-0365,,federalesyabucoa@gmail.com,,,121,MEDIUM LOW (100-299),MEDIUM LOW (100-299),Jun-30,Section 8,0,0,0,0,93,93,76.86000061,0,121,99,100,0,0,0
